Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
ATXI,55.26591954563514,9.699999809265137,8.48,7.86,7.4,4.489999771118164,11.319999694824219
ATRC,55.243501805250915,45.060001373291016,35.66,33.47,31.93,23.809999465942383,45.060001373291016
CCI,55.24038794390637,157.6999969482422,151.25,144.23,142.51,116.9800033569336,167.0500030517578
CALX,55.233072518238,12.569999694824219,8.24,8.16,7.65,5.650000095367432,12.569999694824219
SAVA,55.20157832915002,9.010000228881836,5.53,4.58,3.75,1.0199999809265137,9.649999618530273
AMT,55.1541003544568,238.36000061035156,232.2,226.73,224.72,178.34494018554688,258.52001953125
PTH,55.07475647452327,105.66000366210938,90.49,89.65,88.34,71.81999969482422,105.66000366210938
MPWR,55.056605230805275,211.27000427246094,171.33,168.35,164.02,115.18153381347656,211.27000427246094
ADVM,54.950995276453284,19.59000015258789,11.84,10.77,10.57,5.119999885559082,20.450000762939453
PRNB,54.908275781627474,61.45000076293945,58.16,50.45,46.67,26.790000915527344,74.08999633789062
CLX,54.887939342301635,204.0500030517578,181.82,161.83,159.98,143.0032958984375,204.0500030517578
STN,54.88557873481954,30.149999618530273,27.4,26.96,25.71,20.81862449645996,31.67757797241211
CBB,54.87911414506927,14.789999961853027,14.54,10.55,9.17,3.4100000858306885,15.890000343322754
KEM,54.87783404691356,27.040000915527344,24.88,25.15,23.55,15.858657836914062,27.09000015258789
COUP,54.87146441179782,193.88499450683594,149.7,150.9,147.72,99.38999938964844,193.88499450683594
CPB,54.84770205383118,51.2599983215332,48.68,47.67,46.53,34.7155876159668,53.436832427978516
BIO,54.834237635931096,456.3500061035156,385.55,370.56,360.71,286.92999267578125,460.4200134277344
OESX,54.81968607695248,4.889999866485596,4.03,3.79,3.55,1.4700000286102295,6.239999771118164
ICAD,54.794488936556384,12.850000381469727,10.0,8.75,8.2,5.53000020980835,14.420000076293945
NH,54.76649716692002,2.6600000858306885,1.93,1.41,1.21,0.46700000762939453,2.9600000381469727
HZNP,54.762758676963315,43.439998626708984,32.23,32.72,31.16,22.809999465942383,43.439998626708984
CYBE,54.72845506410305,30.149999618530273,19.64,19.34,18.05,11.630000114440918,30.149999618530273
FLGT,54.71329713207804,16.579999923706055,13.03,13.11,12.47,4.929999828338623,19.75
AGI,54.71078199683282,8.270000457763672,6.38,5.91,6.11,3.875,8.529999732971191
AKAM,54.688279205971845,101.1500015258789,94.59,91.72,90.93,73.66000366210938,106.23999786376953
SLP,54.67066033823076,40.119998931884766,35.15,34.32,34.81,23.492002487182617,42.439998626708984
